2018-03-27 14:14:05,834 [DEBUG] (ComputerDAO.java:listComputer:98) Requête : com.mysql.cj.jdbc.PreparedStatement@5dfcfece: SELECT computer.name, computer.introduced, computer.discontinued, company.id, computer.id, company.name FROM computer LEFT JOIN company ON computer.company_id = company.id
2018-03-27 14:14:05,849 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=MacBook Pro 15.4 inch | introduced=null | discontinued=null | companyId=Apple Inc.
2018-03-27 14:14:05,849 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=CM-2a | introduced=null | discontinued=null | companyId=Thinking Machines
2018-03-27 14:14:05,849 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=CM-200 | introduced=null | discontinued=null | companyId=Thinking Machines
2018-03-27 14:14:05,851 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=CM-5e | introduced=null | discontinued=null | companyId=Thinking Machines
2018-03-27 14:14:05,854 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=CM-5 | introduced=1991-01-01 | discontinued=null | companyId=Thinking Machines
2018-03-27 14:14:05,854 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=MacBook Pro | introduced=2006-01-10 | discontinued=null | companyId=Apple Inc.
2018-03-27 14:14:05,854 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Apple IIe | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,854 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=szhh | introduced=2018-03-13 | discontinued=null | companyId=Micro Instrumentation and Telemetry Systems
2018-03-27 14:14:05,855 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Apple IIGS | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,855 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Apple IIc Plus | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,855 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Apple II Plus | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,855 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Apple III | introduced=1980-05-01 | discontinued=1984-04-01 | companyId=Apple Inc.
2018-03-27 14:14:05,855 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Apple Lisa | introduced=null | discontinued=null | companyId=Apple Inc.
2018-03-27 14:14:05,855 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=CM-2 | introduced=null | discontinued=null | companyId=Thinking Machines
2018-03-27 14:14:05,856 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Connection Machine | introduced=1987-01-01 | discontinued=null | companyId=Thinking Machines
2018-03-27 14:14:05,857 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Apple II | introduced=1977-04-01 | discontinued=1993-10-01 | companyId=Apple Inc.
2018-03-27 14:14:05,857 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Apple III Plus | introduced=1983-12-01 | discontinued=1984-04-01 | companyId=Apple Inc.
2018-03-27 14:14:05,858 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=COSMAC ELF | introduced=null | discontinued=null | companyId=RCA
2018-03-27 14:14:05,858 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=COSMAC VIP | introduced=1977-01-01 | discontinued=null | companyId=RCA
2018-03-27 14:14:05,858 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=ELF II | introduced=1977-01-01 | discontinued=null | companyId=Netronics
2018-03-27 14:14:05,858 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Macintosh | introduced=1984-01-24 | discontinued=null | companyId=Apple Inc.
2018-03-27 14:14:05,858 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Macintosh II | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,858 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Macintosh Plus | introduced=1986-01-16 | discontinued=1990-10-15 | companyId=Apple Inc.
2018-03-27 14:14:05,859 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Macintosh IIfx | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,859 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=iMac | introduced=1998-01-01 | discontinued=null | companyId=Apple Inc.
2018-03-27 14:14:05,859 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Mac Mini | introduced=2005-01-22 | discontinued=null | companyId=Apple Inc.
2018-03-27 14:14:05,859 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Mac Pro | introduced=2006-08-07 | discontinued=null | companyId=Apple Inc.
2018-03-27 14:14:05,859 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Power Macintosh | introduced=1994-03-01 | discontinued=2006-08-01 | companyId=Apple Inc.
2018-03-27 14:14:05,860 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=PowerBook | introduced=1991-01-01 | discontinued=2006-01-01 | companyId=Apple Inc.
2018-03-27 14:14:05,860 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Xserve | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,860 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Powerbook 100 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,860 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Powerbook 140 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,860 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Powerbook 170 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,860 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=PowerBook Duo | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,860 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=PowerBook 190 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,860 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Macintosh Quadra | introduced=1991-01-01 | discontinued=null | companyId=Apple Inc.
2018-03-27 14:14:05,861 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Macintosh Quadra 900 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,861 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Macintosh Quadra 700 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,861 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Macintosh LC | introduced=1990-01-01 | discontinued=null | companyId=Apple Inc.
2018-03-27 14:14:05,861 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Macintosh LC II | introduced=1990-01-01 | discontinued=null | companyId=Apple Inc.
2018-03-27 14:14:05,861 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Macintosh LC III | introduced=1993-01-01 | discontinued=null | companyId=Apple Inc.
2018-03-27 14:14:05,861 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Macintosh LC III+ | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,862 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Macintosh Quadra 605 | introduced=1993-10-21 | discontinued=null | companyId=Apple Inc.
2018-03-27 14:14:05,862 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Macintosh LC 500 series | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,862 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=TRS-80 Color Computer | introduced=1980-01-01 | discontinued=null | companyId=Tandy Corporation
2018-03-27 14:14:05,862 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Acorn System 2 | introduced=null | discontinued=null | companyId=null
